county,net_txbl_assessed_val,tot_prop_tax_alloc_levies,avg_eff_prop_tax_rate,avg_eff_prop_tax_pct
Alameda,4.2403168e+11,5.172139e+09,0.012200001,1.22
Alpine,9.65068e+08,9.943e+06,0.010299999,1.03
Amador,7.173427e+09,7.2657e+07,0.01013,1.013
Butte,2.9800591e+10,3.319e+08,0.01114,1.114
Calaveras,1.0324292e+10,1.10945e+08,0.01075,1.075
Colusa,5.39806e+09,5.9151e+07,0.01096,1.096
Contra Costa,2.8261148e+11,3.252583e+09,0.011510001,1.151
Del Norte,2.699073e+09,2.7982e+07,0.010369999,1.037
El Dorado,4.5774127e+10,4.84301e+08,0.01058,1.058
Fresno,1.15879444e+11,1.405108e+09,0.012130001,1.213
Glenn,4.436831e+09,4.8818e+07,0.011,1.1
Humboldt,1.820143e+10,1.98959e+08,0.010930001,1.093
Imperial,1.6193798e+10,1.89644e+08,0.01171,1.171
Inyo,6.261138e+09,6.5736e+07,0.0105,1.05
Kern,1.1806299e+11,1.473429e+09,0.01248,1.248
Kings,1.6151986e+10,1.72866e+08,0.0107,1.07
Lake,1.0048575e+10,1.12049e+08,0.01115,1.115
Lassen,2.895316e+09,2.946e+07,0.01018,1.018
Los Angeles,2.123425e+12,2.5082931e+10,0.01181,1.181
Madera,2.1757026e+10,2.44073e+08,0.01122,1.122
Marin,1.0654381e+11,1.207387e+09,0.01133,1.133
Mariposa,3.270911e+09,3.3734e+07,0.01031,1.031
Mendocino,1.5276404e+10,1.75955e+08,0.011519999,1.152
Merced,3.6019606e+10,3.8683e+08,0.01074,1.074
Modoc,1.235395e+09,1.2354e+07,0.01,1.0
Mono,9.036795e+09,1.00595e+08,0.01113,1.113
Monterey,9.3622665e+10,1.02887e+09,0.010989999,1.099
Napa,5.5765176e+10,6.15471e+08,0.011039999,1.104
Nevada,2.7479253e+10,2.89046e+08,0.01052,1.052
Orange,8.1946634e+11,8.715979e+09,0.01064,1.064
Placer,1.124389e+11,1.200892e+09,0.010679999,1.068
Plumas,6.053929e+09,6.6295e+07,0.01095,1.095
Riverside,4.3059475e+11,5.049045e+09,0.011729999,1.173
Sacramento,2.3395585e+11,2.701451e+09,0.01155,1.155
San Benito,1.3497497e+10,1.62482e+08,0.01204,1.204
San Bernardino,3.5102507e+11,3.956581e+09,0.01127,1.127
San Diego,7.380566e+11,8.645655e+09,0.01171,1.171
San Francisco,3.5132133e+11,4.124899e+09,0.01174,1.174
San Joaquin,1.18592004e+11,1.330785e+09,0.01122,1.122
San Luis Obispo,7.556804e+10,8.23782e+08,0.0109,1.09
San Mateo,3.281167e+11,3.68326e+09,0.01123,1.123
Santa Barbara,1.1611027e+11,1.24004e+09,0.010679999,1.068
Santa Clara,6.9926506e+11,8.339373e+09,0.01193,1.193
Santa Cruz,6.147067e+10,6.74106e+08,0.01097,1.097
Shasta,2.5756373e+10,2.8447e+08,0.011039999,1.104
Sierra,7.29138e+08,7.291e+06,0.01,1.0
Siskiyou,6.600327e+09,6.8956e+07,0.01045,1.045
Solano,7.363926e+10,8.67841e+08,0.01179,1.179
Sonoma,1.2235866e+11,1.394233e+09,0.011390001,1.139
Stanislaus,6.998044e+10,7.81344e+08,0.01117,1.117
Sutter,1.3739943e+10,1.49636e+08,0.01089,1.089
Tehama,8.154205e+09,8.6012e+07,0.01055,1.055
Trinity,2.317338e+09,2.4106e+07,0.0104,1.04
Tulare,5.2004704e+10,5.72243e+08,0.011,1.1
Tuolumne,9.937454e+09,1.06725e+08,0.01074,1.074
Ventura,1.820622e+11,2.032089e+09,0.01116,1.116
Yolo,3.8897603e+10,4.33262e+08,0.01114,1.114
Yuba,9.855823e+09,1.08121e+08,0.01097,1.097
