county_name,avg_m5v_prop_tax_millrate_2025,avg_eff_prop_tax_rate_2025,avg_eff_prop_tax_pct_2025
Baker,7.99,0.00799,0.79899997
Benton,9.33,0.00933,0.93299997
Clackamas,9.52,0.009520001,0.9520001
Clatsop ,6.83,0.00683,0.68299997
Columbia ,8.18,0.00818,0.81799996
Coos,6.52,0.00652,0.652
Crook,6.35,0.00635,0.635
Curry,4.87,0.00487,0.487
Deschutes,6.65,0.00665,0.66499996
Douglas,6.85,0.00685,0.685
Gilliam,9.41,0.0094099995,0.9409999
Grant,7.93,0.007929999,0.7929999
Harney,7.78,0.00778,0.778
Hood River,5.57,0.00557,0.557
Jackson,8.43,0.00843,0.84300005
Jefferson,7.0,0.007,0.70000005
Josephine,6.12,0.00612,0.612
Klamath ,6.25,0.00625,0.625
Lake,8.37,0.00837,0.837
Lane,8.18,0.00818,0.81799996
Lincoln,7.62,0.00762,0.76199996
Linn,9.09,0.00909,0.909
Malheur,8.48,0.008479999,0.84799993
Marion,9.03,0.009029999,0.90299994
Morrow,6.31,0.00631,0.631
Multnomah,11.47,0.01147,1.1470001
Polk,7.85,0.00785,0.78499997
Sherman ,12.59,0.01259,1.2590001
Tillamook,5.79,0.00579,0.579
Umatilla,9.01,0.00901,0.901
Union,8.01,0.00801,0.801
Wallowa,5.08,0.00508,0.508
Wasco,8.12,0.008119999,0.8119999
Washington,9.81,0.009810001,0.98100007
Wheeler,8.84,0.00884,0.884
Yamhill,7.62,0.00762,0.76199996
