county_name,avg_eff_prop_tax_rate_2025,avg_eff_prop_tax_pct_2025
Adams,0.0083674565,0.8367457
Asotin,0.008226654,0.8226654
Benton,0.008424539,0.84245396
Chelan,0.0063252915,0.63252914
Clallam,0.0075884033,0.7588403
Clark,0.008572421,0.8572421
Columbia,0.0115692075,1.1569208
Cowlitz,0.008179795,0.8179795
Douglas,0.0070580714,0.70580715
Ferry,0.0068721045,0.68721044
Franklin,0.0076475674,0.76475674
Garfield,0.008795652,0.8795652
Grant,0.007302548,0.73025477
Grays Harbor,0.008080878,0.8080878
Island,0.006803219,0.68032193
Jefferson,0.007494116,0.74941164
King,0.008278165,0.82781655
Kitsap,0.0076092845,0.76092845
Kittitas,0.006387797,0.6387797
Klickitat,0.0070434865,0.7043486
Lewis,0.0072876774,0.72876775
Lincoln,0.007631061,0.7631061
Mason,0.007392652,0.7392652
Okanogan,0.0069900723,0.6990072
Pacific,0.006948741,0.6948741
Pend Oreille,0.0069197495,0.69197494
Pierce,0.009228747,0.92287475
San Juan,0.005591802,0.5591802
Skagit,0.008117567,0.8117567
Skamania,0.0074193454,0.74193454
Snohomish,0.0077241953,0.7724195
Spokane,0.009360527,0.9360527
Stevens,0.0071471464,0.71471465
Thurston,0.009524383,0.9524383
Wahkiakum,0.005542749,0.5542749
Walla Walla,0.008582719,0.8582719
Whatcom,0.007577442,0.7577442
Whitman,0.009256903,0.92569035
Yakima,0.0083817765,0.8381777
